Index,date,regional_code,regional_name,organisation_code,organisation_name,diagnostic_id,diagnostic_test_name,total_waiting_list,number_waiting_6_plus_weeks,number_waiting_13_plus_weeks,percentage_waiting_6_plus_weeks,planned_tests_or_procedures,unscheduled_tests_or_procedures,waiting_list_tests_or_procedures_excluding_planned
18313,01/02/2025,Y62,North West ,NT401,Alexandra Hospital,15,Gastroscopy,26,0,0,0,0,0,33
18330,01/02/2025,Y62,North West ,RMP,Tameside and Glossop Integrated Care NHS Foundation Trust,15,Gastroscopy,218,0,0,0,99,11,188
18367,01/02/2025,Y62,North West ,NT420,Highfield Hospital,15,Gastroscopy,7,0,0,0,0,0,21
18369,01/02/2025,Y62,North West ,RXN,Lancashire Teaching Hospitals NHS Foundation Trust,15,Gastroscopy,934,721,620,0.772,23,16,99
18375,01/02/2025,Y62,North West ,RJR,Countess of Chester Hospital NHS Foundation Trust,15,Gastroscopy,483,140,8,0.29,0,13,330
18384,01/02/2025,Y62,North West ,NRP,Beacon Medical Services Group Limited,15,Gastroscopy,71,0,0,0,15,0,139
18403,01/02/2025,Y62,North West ,NT403,Beardwood Hospital,15,Gastroscopy,14,0,0,0,0,0,16
18459,01/02/2025,Y62,North West ,NN5,Manchester Surgical Services Ltd,15,Gastroscopy,0,0,0,0,0,0,7
18465,01/02/2025,Y62,North West ,NT404,Beaumont Hospital,15,Gastroscopy,64,7,0,0.109,0,0,54
18466,01/02/2025,Y62,North West ,RWW,Warrington and Halton Teaching Hospitals NHS Foundation Trust,15,Gastroscopy,248,33,7,0.133,45,0,272
18472,01/02/2025,Y62,North West ,RBV,The Christie NHS Foundation Trust,15,Gastroscopy,0,0,0,0,0,0,2
18489,01/02/2025,Y62,North West ,RMC,Bolton NHS Foundation Trust,15,Gastroscopy,285,4,1,0.014,54,1,242
18492,01/02/2025,Y62,North West ,RTX,University Hospitals of Morecambe Bay NHS Foundation Trust,15,Gastroscopy,218,0,0,0,90,43,340
18495,01/02/2025,Y62,North West ,RXL,Blackpool Teaching Hospitals NHS Foundation Trust,15,Gastroscopy,356,9,5,0.025,39,1,330
18554,01/02/2025,Y62,North West ,NT339,Spire Regency Hospital,15,Gastroscopy,11,0,0,0,0,0,10
18593,01/02/2025,Y62,North West ,RWJ,Stockport NHS Foundation Trust,15,Gastroscopy,374,49,3,0.131,27,22,384
18650,01/02/2025,Y62,North West ,A4M8P,Buckshaw Hospital,15,Gastroscopy,164,55,4,0.335,0,0,83
18652,01/02/2025,Y62,North West ,AAV,Community Health and Eyecare Limited,15,Gastroscopy,784,151,13,0.193,0,0,516
18660,01/02/2025,Y62,North West ,RBS,Alder Hey Children's NHS Foundation Trust,15,Gastroscopy,15,1,0,0.067,19,1,7
18673,01/02/2025,Y62,North West ,NT324,Spire Cheshire Hospital,15,Gastroscopy,28,6,0,0.214,0,0,11
18712,01/02/2025,Y62,North West ,NT337,Spire Liverpool Hospital,15,Gastroscopy,136,14,1,0.103,0,0,40
18713,01/02/2025,Y62,North West ,NT347,Spire Fylde Coast Hospital,15,Gastroscopy,4,0,0,0,0,0,4
18724,01/02/2025,Y62,North West ,RRF,"Wrightington, Wigan and Leigh NHS Foundation Trust",15,Gastroscopy,281,49,21,0.174,61,26,348
19147,01/02/2025,Y62,North West ,RBL,Wirral University Teaching Hospital NHS Foundation Trust,15,Gastroscopy,510,21,0,0.041,0,1,1
19255,01/02/2025,Y62,North West ,NVC07,Fulwood Hall Hospital,15,Gastroscopy,4,1,1,0.25,0,0,1
19283,01/02/2025,Y62,North West ,RJN,East Cheshire NHS Trust,15,Gastroscopy,173,14,0,0.081,26,0,168
19297,01/02/2025,Y62,North West ,RXR,East Lancashire Hospitals NHS Trust,15,Gastroscopy,724,107,30,0.148,0,0,812
19686,01/02/2025,Y62,North West ,NVC12,Oaklands Hospital,15,Gastroscopy,40,2,0,0.05,0,0,42
19694,01/02/2025,Y62,North West ,RM3,Northern Care Alliance NHS Foundation Trust,15,Gastroscopy,726,116,32,0.16,24,42,469
19699,01/02/2025,Y62,North West ,RBN,Mersey and West Lancashire Teaching Hospitals NHS Trust,15,Gastroscopy,658,7,1,0.011,99,11,669
19704,01/02/2025,Y62,North West ,RBT,Mid Cheshire Hospitals NHS Foundation Trust,15,Gastroscopy,305,30,9,0.098,23,5,386
19713,01/02/2025,Y62,North West ,R0A,Manchester University NHS Foundation Trust,15,Gastroscopy,591,56,14,0.095,173,164,1225
19826,01/02/2025,Y62,North West ,NVC05,Euxton Hall Hospital,15,Gastroscopy,111,34,1,0.306,0,0,77
19834,01/02/2025,Y62,North West ,REM,Liverpool University Hospitals NHS Foundation Trust,15,Gastroscopy,523,12,0,0.023,518,69,644
19886,01/02/2025,Y62,North West ,M9U8M,Endocare Diagnostics Ltd,15,Gastroscopy,49,0,0,0,0,0,74
19954,01/02/2025,Y62,North West ,NVG01,Fairfield Hospital,15,Gastroscopy,24,0,0,0,0,0,16
23056,01/02/2025,Y59,South East ,NYR,Healthshare Diagnostics,15,Gastroscopy,81,0,0,0,0,0,233
23072,01/02/2025,Y59,South East ,NV1,Inhealth Limited,15,Gastroscopy,894,9,0,0.01,121,0,1045
23073,01/02/2025,Y59,South East ,R1F,Isle of Wight NHS Trust,15,Gastroscopy,331,137,39,0.414,0,0,138
23114,01/02/2025,Y59,South East ,NT455,Mount Alvernia Hospital,15,Gastroscopy,6,0,0,0,0,0,9
23193,01/02/2025,Y59,South East ,NTPAD,Practice Plus Group Surgical Centre - St Marys Portsmouth,15,Gastroscopy,129,2,0,0.016,0,0,216
23204,01/02/2025,Y59,South East ,NTP11,Practice Plus Group Hospital - Southampton,15,Gastroscopy,201,29,4,0.144,0,0,146
23209,01/02/2025,Y59,South East ,NTP16,Practice Plus Group Surgical Centre - Gillingham,15,Gastroscopy,79,4,0,0.051,0,0,192
23218,01/02/2025,Y59,South East ,RHU,Portsmouth Hospitals University National Health Service Trust,15,Gastroscopy,905,665,559,0.735,66,5,346
23264,01/02/2025,Y59,South East ,RPA,Medway NHS Foundation Trust,15,Gastroscopy,491,225,137,0.458,37,0,265
23293,01/02/2025,Y59,South East ,RWF,Maidstone and Tunbridge Wells NHS Trust,15,Gastroscopy,984,322,158,0.327,109,6,300
23326,01/02/2025,Y59,South East ,RTP,Surrey and Sussex Healthcare NHS Trust,15,Gastroscopy,609,95,2,0.156,31,16,407
23357,01/02/2025,Y59,South East ,NVC02,The Berkshire Independent Hospital,15,Gastroscopy,28,2,1,0.071,0,0,4
23363,01/02/2025,Y59,South East ,NVC11,North Downs Hospital,15,Gastroscopy,7,4,2,0.571,0,0,1
23366,01/02/2025,Y59,South East ,RTH,Oxford University Hospitals NHS Foundation Trust,15,Gastroscopy,1258,877,545,0.697,11,69,371
23384,01/02/2025,Y59,South East ,RHW,Royal Berkshire NHS Foundation Trust,15,Gastroscopy,302,144,87,0.477,16,0,167
23393,01/02/2025,Y59,South East ,RHM,University Hospital Southampton NHS Foundation Trust,15,Gastroscopy,221,34,22,0.154,48,49,281
23463,01/02/2025,Y59,South East ,RN7,Dartford and Gravesham NHS Trust,15,Gastroscopy,201,3,1,0.015,2,40,267
23487,01/02/2025,Y59,South East ,NVM,Epsomedical Group,15,Gastroscopy,33,0,0,0,10,0,102
23499,01/02/2025,Y59,South East ,RXC,East Sussex Healthcare NHS Trust,15,Gastroscopy,311,1,0,0.003,57,13,412
23514,01/02/2025,Y59,South East ,RVV,East Kent Hospitals University NHS Foundation Trust,15,Gastroscopy,460,78,11,0.17,0,0,472
23520,01/02/2025,Y59,South East ,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,15,Gastroscopy,203,10,0,0.049,12,0,303
23523,01/02/2025,Y59,South East ,NT417,Goring Hall Hospital,15,Gastroscopy,5,1,0,0.2,0,0,1
23548,01/02/2025,Y59,South East ,RN5,Hampshire Hospitals NHS Foundation Trust,15,Gastroscopy,1225,701,430,0.572,57,0,460
23550,01/02/2025,Y59,South East ,RXQ,Buckinghamshire Healthcare NHS Trust,15,Gastroscopy,490,121,11,0.247,11,3,218
23561,01/02/2025,Y59,South East ,F9Z4V,Circle Reading Hospital,15,Gastroscopy,5,0,0,0,0,0,6
23570,01/02/2025,Y59,South East ,NVC01,Ashtead Hospital,15,Gastroscopy,16,2,1,0.125,0,0,7
23573,01/02/2025,Y59,South East ,DN4,Berkshire West Community Endoscopy Service,15,Gastroscopy,129,0,0,0,9,0,113
23588,01/02/2025,Y59,South East ,NWF01,Benenden Hospital,15,Gastroscopy,0,0,0,0,45,0,0
23635,01/02/2025,Y59,South East ,NT431,Runnymede Hospital,15,Gastroscopy,2,0,0,0,0,0,0
23638,01/02/2025,Y59,South East ,RDU,Frimley Health NHS Foundation Trust,15,Gastroscopy,735,154,1,0.21,0,18,750
23663,01/02/2025,Y59,South East ,NT428,Princess Margaret Hospital,15,Gastroscopy,0,0,0,0,0,0,4
23692,01/02/2025,Y59,South East ,RA2,Royal Surrey County Hospital NHS Foundation Trust,15,Gastroscopy,237,0,0,0,77,0,301
23719,01/02/2025,Y59,South East ,RW1,Hampshire and Isle of Wight Healthcare NHS Foundation Trust,15,Gastroscopy,160,3,0,0.019,5,0,74
23734,01/02/2025,Y59,South East ,NT418,Hampshire Clinic,15,Gastroscopy,1,0,0,0,0,0,1
24304,01/02/2025,Y59,South East ,RYR,University Hospitals Sussex NHS Foundation Trust,15,Gastroscopy,1045,315,154,0.301,8,4,178
26979,01/02/2025,Y58,South West ,NVC22,Winfield Hospital,15,Gastroscopy,60,1,0,0.017,0,0,91
26984,01/02/2025,Y58,South West ,RA9,Torbay and South Devon NHS Foundation Trust,15,Gastroscopy,249,13,0,0.052,20,32,304
27337,01/02/2025,Y58,South West ,RA7,University Hospitals Bristol and Weston NHS Foundation Trust,15,Gastroscopy,437,46,6,0.105,38,35,194
27379,01/02/2025,Y58,South West ,R0D,University Hospitals Dorset NHS Foundation Trust,15,Gastroscopy,625,13,4,0.021,63,40,723
27548,01/02/2025,Y58,South West ,RVJ,North Bristol NHS Trust,15,Gastroscopy,526,20,0,0.038,15,25,275
27624,01/02/2025,Y58,South West ,NT430,Ridgeway Hospital,15,Gastroscopy,11,0,0,0,0,0,4
27633,01/02/2025,Y58,South West ,RNZ,Salisbury NHS Foundation Trust,15,Gastroscopy,238,80,38,0.336,4,0,72
27635,01/02/2025,Y58,South West ,NTPH1,Practice Plus Group Hospital - Shepton Mallet,15,Gastroscopy,97,11,0,0.113,0,0,97
27665,01/02/2025,Y58,South West ,NTPH5,Practice Plus Group Hospital - Plymouth,15,Gastroscopy,77,21,13,0.273,0,0,0
27679,01/02/2025,Y58,South West ,NTPH3,Practice Plus Group Surgical Centre - Devizes,15,Gastroscopy,133,23,0,0.173,0,0,121
27692,01/02/2025,Y58,South West ,RH5,Somerset NHS Foundation Trust,15,Gastroscopy,650,129,9,0.198,53,45,426
27710,01/02/2025,Y58,South West ,RH8,Royal Devon University Healthcare NHS Foundation Trust,15,Gastroscopy,679,163,29,0.24,20,37,597
27725,01/02/2025,Y58,South West ,RD1,Royal United Hospitals Bath NHS Foundation Trust,15,Gastroscopy,300,124,84,0.413,47,1,316
27727,01/02/2025,Y58,South West ,G3Z1Q,Sulis Hospital Bath (Foxcote Avenue),15,Gastroscopy,20,0,0,0,0,0,0
27763,01/02/2025,Y58,South West ,RTE,Gloucestershire Hospitals NHS Foundation Trust,15,Gastroscopy,518,65,21,0.125,77,27,657
27796,01/02/2025,Y58,South West ,RBD,Dorset County Hospital NHS Foundation Trust,15,Gastroscopy,605,261,93,0.431,37,19,210
27815,01/02/2025,Y58,South West ,NVC09,New Hall Hospital,15,Gastroscopy,15,3,0,0.2,0,0,10
27826,01/02/2025,Y58,South West ,NTPH2,Practice Plus Group Hospital - Emersons Green,15,Gastroscopy,324,60,0,0.185,0,0,224
27841,01/02/2025,Y58,South West ,NVC04,Duchy Hospital,15,Gastroscopy,1,0,0,0,0,0,0
27849,01/02/2025,Y58,South West ,NVC08,Mount Stuart Hospital,15,Gastroscopy,29,11,2,0.379,0,0,3
27859,01/02/2025,Y58,South West ,RN3,Great Western Hospitals NHS Foundation Trust,15,Gastroscopy,343,68,15,0.198,37,22,376
28173,01/02/2025,Y58,South West ,REF,Royal Cornwall Hospitals NHS Trust,15,Gastroscopy,169,2,0,0.012,82,41,432
29445,01/02/2025,Y58,South West ,RK9,University Hospitals Plymouth NHS Trust,15,Gastroscopy,511,159,69,0.311,41,1,453
495,01/03/2025,Y61,East of England ,NVC31,Blakelands Hospital,15,Gastroscopy,235,109,15,0.464,0,0,97
500,01/03/2025,Y61,East of England ,RC9,Bedfordshire Hospitals NHS Foundation Trust,15,Gastroscopy,510,82,6,0.161,34,51,712
521,01/03/2025,Y61,East of England ,RGT,Cambridge University Hospitals NHS Foundation Trust,15,Gastroscopy,652,6,1,0.009,120,68,581
525,01/03/2025,Y61,East of England ,RGN,North West Anglia NHS Foundation Trust,15,Gastroscopy,449,11,0,0.024,78,20,327
549,01/03/2025,Y61,East of England ,NEM13,Chartwell Private Hospital,15,Gastroscopy,129,23,0,0.178,0,0,129
565,01/03/2025,Y61,East of England ,RGP,James Paget University Hospitals NHS Foundation Trust,15,Gastroscopy,247,48,6,0.194,22,69,248
569,01/03/2025,Y61,East of England ,RM1,Norfolk and Norwich University Hospitals NHS Foundation Trust,15,Gastroscopy,864,270,27,0.313,34,50,455
576,01/03/2025,Y61,East of England ,RDE,East Suffolk and North Essex NHS Foundation Trust,15,Gastroscopy,711,64,5,0.09,51,42,695
577,01/03/2025,Y61,East of England ,AWA,Eastwood Endoscopy Centre,15,Gastroscopy,175,1,0,0.006,49,0,291
582,01/03/2025,Y61,East of England ,RD8,Milton Keynes University Hospital NHS Foundation Trust,15,Gastroscopy,233,7,1,0.03,18,40,277
700,01/03/2025,Y61,East of England ,NT209,"Nuffield Health, Cambridge Hospital",15,Gastroscopy,2,0,0,0,1,0,0
701,01/03/2025,Y61,East of England ,RAJ,Mid and South Essex NHS Foundation Trust,15,Gastroscopy,1290,524,323,0.406,69,9,793
704,01/03/2025,Y61,East of England ,RWH,East and North Hertfordshire NHS Trust,15,Gastroscopy,177,18,1,0.102,0,0,283
903,01/03/2025,Y61,East of England ,NVC06,Fitzwilliam Hospital,15,Gastroscopy,21,4,3,0.19,0,0,35
2024,01/03/2025,Y61,East of England ,NVC13,Oaks Hospital,15,Gastroscopy,2,1,0,0.5,0,0,3
2046,01/03/2025,Y61,East of England ,NVC19,Rivers Hospital,15,Gastroscopy,87,15,8,0.172,0,0,104
2074,01/03/2025,Y61,East of England ,RGR,West Suffolk NHS Foundation Trust,15,Gastroscopy,732,308,99,0.421,0,0,0
2126,01/03/2025,Y61,East of England ,NT446,St Edmunds Hospital,15,Gastroscopy,3,0,0,0,0,0,2
2283,01/03/2025,Y61,East of England ,NVC15,Pinehill Hospital,15,Gastroscopy,29,2,1,0.069,0,0,28
2287,01/03/2025,Y61,East of England ,NT434,Saxon Clinic,15,Gastroscopy,4,0,0,0,0,0,17
2948,01/03/2025,Y61,East of England ,RCX,"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",15,Gastroscopy,137,23,1,0.168,40,0,302
2967,01/03/2025,Y61,East of England ,NVC18,Springfield Hospital,15,Gastroscopy,30,6,1,0.2,0,0,14
3148,01/03/2025,Y61,East of England ,RWG,West Hertfordshire Teaching Hospitals NHS Trust,15,Gastroscopy,703,50,4,0.071,0,4,695
3189,01/03/2025,Y61,East of England ,S3H9L,The Hamptons Hospital Ltd,15,Gastroscopy,41,2,0,0.049,0,0,41
3226,01/03/2025,Y61,East of England ,RQW,The Princess Alexandra Hospital NHS Trust,15,Gastroscopy,375,242,169,0.645,22,16,147
5125,01/03/2025,Y56,London ,RJ1,Guy's and St Thomas' NHS Foundation Trust,15,Gastroscopy,376,19,3,0.051,260,94,821
5141,01/03/2025,Y56,London ,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",15,Gastroscopy,211,1,1,0.005,96,0,418
5269,01/03/2025,Y56,London ,NT406,Blackheath Hospital,15,Gastroscopy,22,0,0,0,0,0,23
5334,01/03/2025,Y56,London ,R1H,Barts Health NHS Trust,15,Gastroscopy,881,178,101,0.202,42,34,812
5344,01/03/2025,Y56,London ,NT416,Hendon Hospital,15,Gastroscopy,7,0,0,0,0,0,9
5370,01/03/2025,Y56,London ,RYJ,Imperial College Healthcare NHS Trust,15,Gastroscopy,769,1,0,0.001,18,44,624
5385,01/03/2025,Y56,London ,RQM,Chelsea and Westminster Hospital NHS Foundation Trust,15,Gastroscopy,467,12,1,0.026,27,32,689
5396,01/03/2025,Y56,London ,NT451,Cavell Hospital,15,Gastroscopy,14,0,0,0,0,0,22
5800,01/03/2025,Y56,London ,RKE,Whittington Health NHS Trust,15,Gastroscopy,287,12,2,0.042,29,8,229
5850,01/03/2025,Y56,London ,RRV,University College London Hospitals NHS Foundation Trust,15,Gastroscopy,579,31,1,0.054,114,0,600
5889,01/03/2025,Y56,London ,NT409,Chelsfield Park Hospital,15,Gastroscopy,17,0,0,0,0,0,23
5890,01/03/2025,Y56,London ,RVR,Epsom and St Helier University Hospitals NHS Trust,15,Gastroscopy,503,89,17,0.177,40,29,453
5910,01/03/2025,Y56,London ,NT411,Clementine Churchill Hospital,15,Gastroscopy,12,0,0,0,0,0,18
5917,01/03/2025,Y56,London ,RP4,Great Ormond Street Hospital For Children NHS Foundation Trust,15,Gastroscopy,56,18,3,0.321,13,2,64
5951,01/03/2025,Y56,London ,RQX,Homerton Healthcare NHS Foundation Trust,15,Gastroscopy,230,1,0,0.004,18,17,446
5962,01/03/2025,Y56,London ,RJ6,Croydon Health Services NHS Trust,15,Gastroscopy,203,33,7,0.163,10,8,409
5981,01/03/2025,Y56,London ,NT3X3,Spire St Anthony's Hospital,15,Gastroscopy,2,0,0,0,0,0,0
5983,01/03/2025,Y56,London ,NT314,Spire London East,15,Gastroscopy,1,0,0,0,0,0,3
5991,01/03/2025,Y56,London ,RJ7,St George's University Hospitals NHS Foundation Trust,15,Gastroscopy,705,251,52,0.356,37,23,497
6018,01/03/2025,Y56,London ,NTP15,Practice Plus Group Hospital - Ilford,15,Gastroscopy,224,8,0,0.036,0,0,158
6022,01/03/2025,Y56,London ,RAL,Royal Free London NHS Foundation Trust,15,Gastroscopy,851,135,43,0.159,19,76,1362
6029,01/03/2025,Y56,London ,NT437,Sloane Hospital,15,Gastroscopy,2,0,0,0,0,0,5
6031,01/03/2025,Y56,London ,NT436,Shirley Oaks Hospital,15,Gastroscopy,27,2,0,0.074,0,0,70
6062,01/03/2025,Y56,London ,RPY,The Royal Marsden NHS Foundation Trust,15,Gastroscopy,40,5,0,0.125,13,6,47
6078,01/03/2025,Y56,London ,RAX,Kingston and Richmond NHS Foundation Trust,15,Gastroscopy,362,11,1,0.03,79,28,344
6123,01/03/2025,Y56,London ,RAS,The Hillingdon Hospitals NHS Foundation Trust,15,Gastroscopy,505,136,7,0.269,12,10,236
6125,01/03/2025,Y56,London ,R1K,London North West University Healthcare NHS Trust,15,Gastroscopy,1138,334,99,0.293,72,10,548
6130,01/03/2025,Y56,London ,RJ2,Lewisham and Greenwich NHS Trust,15,Gastroscopy,431,157,15,0.364,25,6,390
6131,01/03/2025,Y56,London ,AY1,Medefer,15,Gastroscopy,203,66,6,0.325,0,0,85
6137,01/03/2025,Y56,London ,RJZ,King's College Hospital NHS Foundation Trust,15,Gastroscopy,676,129,27,0.191,216,76,918
6147,01/03/2025,Y56,London ,NT422,London Independent Hospital,15,Gastroscopy,57,1,0,0.018,0,0,47
10142,01/03/2025,Y60,Midlands ,NVC0I,Beacon Park Hospital,15,Gastroscopy,27,18,6,0.667,0,0,3
10150,01/03/2025,Y60,Midlands ,RQ3,Birmingham Women's and Children's NHS Foundation Trust,15,Gastroscopy,35,6,1,0.171,8,2,47
10175,01/03/2025,Y60,Midlands ,NT242,"Nuffield Health, Wolverhampton Hospital",15,Gastroscopy,1,0,0,0,0,0,0
10177,01/03/2025,Y60,Midlands ,NT427,Park Hospital,15,Gastroscopy,8,0,0,0,0,0,15
10183,01/03/2025,Y60,Midlands ,NT224,"Nuffield Health, Warwickshire Hospital",15,Gastroscopy,1,0,0,0,0,0,7
10210,01/03/2025,Y60,Midlands ,RK5,Sherwood Forest Hospitals NHS Foundation Trust,15,Gastroscopy,458,23,0,0.05,45,3,437
10213,01/03/2025,Y60,Midlands ,NVC27,Boston West Hospital,15,Gastroscopy,45,8,1,0.178,0,0,39
10214,01/03/2025,Y60,Midlands ,RX1,Nottingham University Hospitals NHS Trust,15,Gastroscopy,1263,368,49,0.291,105,0,973
10227,01/03/2025,Y60,Midlands ,RLT,George Eliot Hospital NHS Trust,15,Gastroscopy,120,2,0,0.017,18,0,257
10228,01/03/2025,Y60,Midlands ,RXK,Sandwell and West Birmingham Hospitals NHS Trust,15,Gastroscopy,640,196,116,0.306,30,0,274
10229,01/03/2025,Y60,Midlands ,RNQ,Kettering General Hospital NHS Foundation Trust,15,Gastroscopy,131,6,0,0.046,27,1,221
10230,01/03/2025,Y60,Midlands ,NT424,Meriden Hospital,15,Gastroscopy,25,0,0,0,0,0,17
10243,01/03/2025,Y60,Midlands ,NT412,Droitwich Spa Hospital,15,Gastroscopy,12,0,0,0,0,0,28
10244,01/03/2025,Y60,Midlands ,K8I4X,Glendon Wood Hospital,15,Gastroscopy,63,9,1,0.143,0,0,93
10253,01/03/2025,Y60,Midlands ,RFS,Chesterfield Royal Hospital NHS Foundation Trust,15,Gastroscopy,264,77,4,0.292,21,23,260
10260,01/03/2025,Y60,Midlands ,RNS,Northampton General Hospital NHS Trust,15,Gastroscopy,159,0,0,0,27,1,260
10261,01/03/2025,Y60,Midlands ,NT445,Edgbaston Hospital,15,Gastroscopy,0,0,0,0,0,0,9
10389,01/03/2025,Y60,Midlands ,NVC17,Rowley Hall Hospital,15,Gastroscopy,29,19,3,0.655,0,0,10
10641,01/03/2025,Y60,Midlands ,NVC1H,Stourside Hospital,15,Gastroscopy,48,13,5,0.271,0,0,17
10644,01/03/2025,Y60,Midlands ,NT301,Spire South Bank Hospital,15,Gastroscopy,4,1,0,0.25,0,0,7
10661,01/03/2025,Y60,Midlands ,NT30A,Spire Nottingham Hospital,15,Gastroscopy,2,0,0,0,0,0,3
10701,01/03/2025,Y60,Midlands ,RKB,University Hospitals Coventry and Warwickshire NHS Trust,15,Gastroscopy,180,5,2,0.028,5,4,113
10733,01/03/2025,Y60,Midlands ,RLQ,Wye Valley NHS Trust,15,Gastroscopy,228,38,1,0.167,27,0,182
10735,01/03/2025,Y60,Midlands ,RTG,University Hospitals of Derby and Burton NHS Foundation Trust,15,Gastroscopy,689,67,4,0.097,43,10,302
10739,01/03/2025,Y60,Midlands ,RNA,The Dudley Group NHS Foundation Trust,15,Gastroscopy,301,2,0,0.007,18,0,393
10750,01/03/2025,Y60,Midlands ,RJC,South Warwickshire University NHS Foundation Trust,15,Gastroscopy,248,10,0,0.04,34,1,238
10921,01/03/2025,Y60,Midlands ,RL4,The Royal Wolverhampton NHS Trust,15,Gastroscopy,440,0,0,0,31,21,324
10931,01/03/2025,Y60,Midlands ,RWD,United Lincolnshire Teaching Hospitals NHS Trust,15,Gastroscopy,415,66,1,0.159,37,44,490
10938,01/03/2025,Y60,Midlands ,RWE,University Hospitals of Leicester NHS Trust,15,Gastroscopy,703,148,38,0.211,72,62,952
10940,01/03/2025,Y60,Midlands ,RJE,University Hospitals of North Midlands NHS Trust,15,Gastroscopy,451,27,5,0.06,176,5,882
10944,01/03/2025,Y60,Midlands ,RXW,The Shrewsbury and Telford Hospital NHS Trust,15,Gastroscopy,394,34,14,0.086,24,21,173
10947,01/03/2025,Y60,Midlands ,NT441,Three Shires Hospital,15,Gastroscopy,45,0,0,0,0,0,44
11014,01/03/2025,Y60,Midlands ,RRK,University Hospitals Birmingham NHS Foundation Trust,15,Gastroscopy,2148,1056,477,0.492,0,0,783
11018,01/03/2025,Y60,Midlands ,RBK,Walsall Healthcare NHS Trust,15,Gastroscopy,243,38,1,0.156,16,9,204
11034,01/03/2025,Y60,Midlands ,RWP,Worcestershire Acute Hospitals NHS Trust,15,Gastroscopy,321,19,6,0.059,138,47,506
11036,01/03/2025,Y60,Midlands ,NVC21,West Midlands Hospital,15,Gastroscopy,14,3,1,0.214,0,0,4
11047,01/03/2025,Y60,Midlands ,NVC23,Woodland Hospital,15,Gastroscopy,4,1,0,0.25,0,0,1
11069,01/03/2025,Y60,Midlands ,NVC40,Woodthorpe Hospital,15,Gastroscopy,33,6,1,0.182,0,0,49
12264,01/03/2025,Y63,North East and Yorkshire ,NVC0R,Tees Valley Hospital,15,Gastroscopy,61,13,5,0.213,0,0,129
12268,01/03/2025,Y63,North East and Yorkshire ,AJ8,The Grange Medical Centre HQ,15,Gastroscopy,106,0,0,0,0,0,77
12476,01/03/2025,Y63,North East and Yorkshire ,NT350,Spire Methley Park Hospital,15,Gastroscopy,1,0,0,0,0,0,2
12481,01/03/2025,Y63,North East and Yorkshire ,NT348,Spire Elland Hospital,15,Gastroscopy,5,0,0,0,0,0,8
12488,01/03/2025,Y63,North East and Yorkshire ,RTR,South Tees Hospitals NHS Foundation Trust,15,Gastroscopy,402,25,2,0.062,77,38,538
12496,01/03/2025,Y63,North East and Yorkshire ,NID,The Living Care Group,15,Gastroscopy,544,0,0,0,0,544,0
12537,01/03/2025,Y63,North East and Yorkshire ,NT351,Spire Hull and East Riding Hospital,15,Gastroscopy,0,0,0,0,0,0,1
12639,01/03/2025,Y63,North East and Yorkshire ,RCB,York and Scarborough Teaching Hospitals NHS Foundation Trust,15,Gastroscopy,567,131,43,0.231,68,0,311
12687,01/03/2025,Y63,North East and Yorkshire ,RHQ,Sheffield Teaching Hospitals NHS Foundation Trust,15,Gastroscopy,897,315,29,0.351,34,30,475
12693,01/03/2025,Y63,North East and Yorkshire ,NN4,Tyneside Surgical Services Ltd,15,Gastroscopy,35,1,0,0.029,0,0,50
12694,01/03/2025,Y63,North East and Yorkshire ,NT457,Woodlands Hospital,15,Gastroscopy,0,0,0,0,0,0,2
12698,01/03/2025,Y63,North East and Yorkshire ,AGA,Westcliffe Health Innovations Ltd,15,Gastroscopy,53,8,4,0.151,546,0,53
12714,01/03/2025,Y63,North East and Yorkshire ,RFR,The Rotherham NHS Foundation Trust,15,Gastroscopy,543,9,4,0.017,13,23,246
12719,01/03/2025,Y63,North East and Yorkshire ,NVC20,The Yorkshire Clinic,15,Gastroscopy,139,25,1,0.18,0,0,95
12720,01/03/2025,Y63,North East and Yorkshire ,NT440,Thornbury Hospital,15,Gastroscopy,14,0,0,0,0,0,25
12721,01/03/2025,Y63,North East and Yorkshire ,R0B,South Tyneside and Sunderland NHS Foundation Trust,15,Gastroscopy,263,0,0,0,50,27,364
12722,01/03/2025,Y63,North East and Yorkshire ,RTD,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,15,Gastroscopy,358,61,5,0.17,91,12,284
12727,01/03/2025,Y63,North East and Yorkshire ,RP5,Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,15,Gastroscopy,506,15,1,0.03,89,0,616
12728,01/03/2025,Y63,North East and Yorkshire ,NT447,Duchy Hospital,15,Gastroscopy,0,0,0,0,0,0,2
12739,01/03/2025,Y63,North East and Yorkshire ,RCF,Airedale NHS Foundation Trust,15,Gastroscopy,74,0,0,0,26,28,139
12744,01/03/2025,Y63,North East and Yorkshire ,RXP,County Durham and Darlington NHS Foundation Trust,15,Gastroscopy,432,20,4,0.046,9,0,606
12769,01/03/2025,Y63,North East and Yorkshire ,RAE,Bradford Teaching Hospitals NHS Foundation Trust,15,Gastroscopy,217,26,6,0.12,84,89,420
